Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/pehqingwen/duke.git,master,pehqingwen,,PEH .. WEN,qwpeh,
https://github.com/agqy98/duke.git,master,agqy98,,GOH ..NGEL,,
https://github.com/CheshireKK/duke.git,master,CheshireKK,,KENN..IALE,,
https://github.com/ponnurose/duke.git,master,ponnurose,,PONN..RAJU,,
https://github.com/ZiMing2983/duke.git,master,ZiMing2983,,GAO ..MING,Ziming,
https://github.com/yeebinrong/duke.git,master,yeebinrong,,YEE ..RONG,yee_b,
https://github.com/chongkelv123/duke.git,master,chongkelv123,,CHON..IONG,Kelvin;chongkelv,
https://github.com/jy0251/duke.git,master,jy0251,,ONG ..YONG,,
https://github.com/CXinCheng/duke.git,master,CXinCheng,,CAI ..HENG,,
https://github.com/Jianannl/duke.git,master,Jianannl,,LEE .. ANN,Lee Jian Ann,
https://github.com/dMadPanacea/duke.git,master,dMadPanacea,,YOUN.. TAN,CHUBB-DESKTOP\caleb,
https://github.com/vennica/duke.git,master,vennica,,LI W..YING,Wanying li;vennica li,
https://github.com/DumbCat-Github/duke.git,master,DumbCat-Github,,HO L..G YI,Sean Leong,
https://github.com/ardianbl/duke.git,master,ardianbl,,ARDI..RIAN,Ardian,
https://github.com/amber-le/duke.git,master,amber-le,,LE T..THUY,Amber;Amber Le;Craby;amber-fox,
https://github.com/huiting-ht/duke.git,master,huiting-ht,,TOR ..TENG,Hwee Teng;hweeteng,
https://github.com/gweemelvin/duke.git,master,gweemelvin,,GWEE..LVIN,gwee melvin,
https://github.com/chanjansen/duke.git,master,chanjansen,,CHAN..NDA),Jansen Chan,
https://github.com/GuangzuW/duke.git,master,GuangzuW,,WANG..NGZU,Zac,
https://github.com/yongjiema/duke.git,master,yongjiema,,MA Y..GJIE,Ma Yongjie,
https://github.com/Case000/duke.git,master,Case000,,CHUN..IANG,Kai Siang,
https://github.com/kunkunkunkun/duke.git,master,kunkunkunkun,,YAN .. KUN,,
https://github.com/Summerfallin/duke.git,master,Summerfallin,,WANG..LONG,,
https://github.com/angelquisit/duke.git,master,angelquisit,,QUIS..UGTU,,
https://github.com/jacqhal/duke.git,master,jacqhal,,JACQ.. LIN,Jac,
